tag,hex1,Color,,tag2,hex2,Color2
TRIM_ZSL,8ba6ac,,,TRIM_CE_WAIST_LEFT_METAL,690393,
TRIM_ZST,343b3c,,,TRIM_CE_WAIST_LEFT_PLASTIC,9e699d,
TRIM_ZT_LEFT,594926,,,TRIM_RH_HOOD_LEFT_METAL,2b4911,
TRIM_ZT_RIGHT,6d5c36,,,TRIM_R_METAL,530303,
TRIM_ZT_CENTER_BACK_LEFT,1274b0,,,TRIM_RH,,
TRIM_ZT_CENTER_BACK_RIGHT,1f6b99,,,TRIM_LS,,
TRIM_ZT_CENTER_FRONT_LEFT,104d59,,,TRIM_ZST,,
TRIM_ZT_CENTER_FRONT_RIGHT,0c3d46,,,TRIM_BCL,,
TRIM_ZT_SIDE_SEAM_LEFT,37636c,,,,,
TRIM_ZT_SIDE_SEAM_RIGHT,294c53,,,,,
,,,,,,
,,,,TRIM_B_PLACKET_RIGHT_OVER_METAL,ceb907,
,,,,,,
,,,,TRIM_B_WAISTBAND_METAL,0e2d33,
,,,,TRIM_B_SLEEVE_CUFF_METAL,3b5c63,
,,,,TRIM_B_SLEEVE_CUFF_PLASTIC,6e5a78,
,,,,,,
,,,,,,
,,,,TRIM_B_MATTE,895ca0,
,,,,TRIM_TS_OVERLOCK,bf5cf2,
,,,,TRIM_LS_RIGHT_BACK_METAL ,9c1ede,
,,,,TRIM_LR_RIGHT_BACK_METAL,620b90,
,,,,TRIM_ZT_SIDE_SEAM_RIGHT_PLASTIC,294c53,
,,,,TRIM_ZT_CENTER_BACK_RIGHT_METAL,5593a0,
,,,,TRIM_ZT_CENTER_BACK_RIGHT,1f6b99,
,,,,TRIM_ZT_CENTER_FRONT_RIGHT_METAL,0c3d46,
,,,,TRIM_ZT_CENTER_FRONT_RIGHT_PLASTIC,507b42,
,,,,TRIM_ZT_SIDE_SEAM_RIGHT_METAL,6eb874,
,,,,TRIM_ZST_PLASTIC,8fd2e0,
,,,,TRIM_ZSL_PLASTIC,6c7483,
,,,,TRIM_ZP_PLASTIC,8698a3,
,,,,,,
,,,,TRIM_BCL_RIGHT_FRONT_METAL,6a8829,
,,,,,,
,,,,TRIM_C_WAIST_RIGHT,84699e,
,,,,,,
,,,,TRIM_C_HOOD_RIGHT,116f7c,
,,,,TRIM_CE_HOOD_RIGHT_METAL,389244,
,,,,TRIM_CE_WAIST_RIGHT_METAL,6d3585,
,,,,TRIM_CE_WAIST_RIGHT_PLASTIC,8c5b8b,
,,,,TRIM_RH_HOOD_RIGHT_METAL,41572e,
,,,,,,
,,,,TRIM_LR,,
,,,,TRIM_ZSL,,
,,,,TRIM_SSBCL,,
,,,,TRIM_B_PLACKET_OVER_WOODEN,,
,,,,TRIM_ZST_METAL,343b3c,
